program_category,default_channel,Landing_page,Session,sessions_yoy_difference,Pageview,pageview_yoy_difference,Conversions,conversions_yoy_difference,Conversion_Rate,conversion_rate_yoy_percent_difference
MED,Direct,/rethinking-education-assessment-types/,67,19,61,11,0,0,0,0
MED,Organic Search,/teacher-cover-letter-examples/,66,-390,59,-363,0,-8,0,-0.017543859649122806
MED,Organic Search,/instructional-leadership/,66,-118,67,-138,0,-1,0,-0.005434782608695652
MSITL,Direct,/it-job-titles/,65,7,67,12,0,0,0,0
MED,Organic Search,/masters-education/,65,-118,117,-275,1,-7,0.015384615384615385,-0.028331231609920134
EML,Direct,/future-engineering-trends/,64,,67,,0,,0,
MSLDT,Organic Search,/top-instructional-design-software/,64,48,56,0,0,-3,0,-0.1875
Default - (not set),Unknown - tradedesk / dooh,/,64,,64,,0,,0,
MSNNL,Direct,/masters-nursing-leadership/,64,,138,,5,,0.078125,
MSLDT,Email,/top-instructional-design-skills/,63,,69,,5,,0.07936507936507936,
EML,Organic Search,/engineering-manager-skills/,63,-166,62,-154,1,1,0.015873015873015872,0.015873015873015872
MSNP,Organic Search,/nonprofit-grant-databases/,63,-159,59,-152,0,0,0,0
CyberEng,Organic Search,/black-vs-gray-vs-white-hat-hackers/,62,-200,62,-260,0,0,0,0
Informatics,Email,/masters-health-informatics/lp/learn-more/,62,,64,,1,,0.016129032258064516,
MSHA,Organic Search,/social-advocacy-definition/,62,,60,,0,,0,
MESH,Direct,/high-paying-environmental-jobs/,61,,65,,0,,0,
CyberEng,Organic Search,/cyber-crime-investigator-career/,60,-366,61,-410,0,-1,0,-0.002347417840375587
MTS,Organic Search,/how-to-regain-your-faith/,60,-190,75,-188,0,0,0,0
MSAAI,Display,/masters-applied-artificial-intelligence/lp/study-artificial-intelligence/,60,-531,76,-586,3,2,0.05,0.048307952622673435
MTS,Display,/masters-theological-studies/,60,,90,,2,,0.03333333333333333,
MTS,Organic Search,/religious-vocational-discernment/,60,-122,70,-110,0,0,0,0
MSAAI,Organic Search,/masters-applied-artificial-intelligence/apply/,59,-3,54,-11,0,-6,0,-0.0967741935483871
MSLDT,Direct,/top-instructional-design-software/,59,,56,,0,,0,
MSAAI,Organic Social,/masters-applied-artificial-intelligence/,59,50,83,63,0,-1,0,-0.1111111111111111
CyberEng,Direct,/cyber-security-statistics/,58,45,60,42,0,0,0,0
