program_category,default_channel,Landing_page,Session,sessions_yoy_difference,Pageview,pageview_yoy_difference,Conversions,conversions_yoy_difference,Conversion_Rate,conversion_rate_yoy_percent_difference
MSHA,Organic Search,/social-advocacy-definition/,66,,62,,0,,0,
CyberEng,Organic Search,/masters-cyber-security-engineering/,66,-104,75,-278,1,-4,0.015151515151515152,-0.0142602495543672
Default - (not set),Direct,/admissions/,66,,76,,0,,0,
MESH,Organic Search,/career-changes-for-engineers/,65,-89,73,-79,0,0,0,0
MSLDT,Direct,/create-employee-training-program/,65,-161,59,-165,0,0,0,0
MSITL,Direct,/masters-information-technology-leadership/,64,15,81,-45,0,0,0,0
LEPSL,Direct,/masters-law-enforcement-leadership/classes/,63,36,83,45,1,1,0.015873015873015872,0.015873015873015872
MED,Organic Search,/differentiated-instruction/,63,-348,68,-341,0,0,0,0
LEPSL,Organic Search,/top-5-trends-in-law-enforcement/,62,-281,70,-312,0,0,0,0
MTS,Organic Search,/what-is-lay-ministry/,62,-225,68,-236,0,-1,0,-0.003484320557491289
MSAAI,Organic Search,/artificial-intelligence-scholarships/,62,-515,72,-532,3,-6,0.04838709677419355,0.032789176496897186
MSAAI,Organic Search,/artificial-intelligence-courses-and-certifications/,62,-74,66,-67,1,0,0.016129032258064516,0.008776091081593928
MESH,Direct,/masters-engineering-sustainability-health/,61,-8,80,-39,0,-2,0,-0.028985507246376812
MED,Direct,/instructional-leadership/,61,2,61,-1,0,0,0,0
Default - (not set),Direct,/programs/,61,,65,,0,,0,
MSAAI,Direct,/application-of-ai-in-robotics/,60,-134,62,-152,0,0,0,0
MSHA,Direct,/human-rights-violation-definition/,59,,58,,0,,0,
MED,Organic Search,/instructional-leadership/,58,-96,50,-117,0,0,0,0
MSLDT,Direct,/instructional-design-models/,58,-83,59,-85,0,0,0,0
MSNP,Organic Search,/ngo-vs-nonprofit/,58,,52,,0,,0,
MTS,Organic Search,/nature-spirituality/,57,-130,54,-153,0,-1,0,-0.0053475935828877
Informatics,Paid Social,/health-data-analyst/,57,,67,,0,,0,
CyberEng,Direct,/cyber-security-statistics/,56,30,55,34,0,0,0,0
Default - business-entrepreneurship,Organic Search,/best-engineering-software/,56,,57,,0,,0,
Informatics,Paid Social,/masters-health-informatics/lp/study-health-informatics/,56,-23,83,-8,8,6,0.14285714285714285,0.11754068716094032
MSITL,Organic Search,/it-careers-after-help-desk/,56,-180,55,-174,0,0,0,0
MSLDT,Direct,/masters-learning-design-technology/,55,-50,120,-105,0,-3,0,-0.02857142857142857
MSLDT,Organic Search,/learning-objectives-examples/,55,,50,,0,,0,
CyberOps,Organic Search,/ethical-hacker-career-salary-guide/,55,-496,55,-580,0,0,0,0
MESH,Direct,/masters-engineering-sustainability-health/apply/,55,-13,92,-46,0,-5,0,-0.07352941176470588
MTS,Organic Search,/jobs-for-catholics/,55,-105,64,-121,0,-1,0,-0.00625
