program_category,default_channel,Landing_page,Session,sessions_yoy_difference,Pageview,pageview_yoy_difference,Conversions,conversions_yoy_difference,Conversion_Rate,conversion_rate_yoy_percent_difference
Data Science,Organic Search,.translate.goog/business-intelligence-developer/,2,,2,,0,,0,
EML,Referral,/resources/mseml-program-brochure/,2,,2,,0,,0,
EML,Direct,/effective-engineering-manager/,2,,2,,0,,0,
Data Science,Direct,/are-coding-bootcamps-worth-it/,2,,2,,0,,0,
Data Science,Paid Search,/masters-cyber-security-engineering/lp/cyber-security-engineering/,2,,7,,0,,0,
EML,Paid Social,/masters-engineering-management-leadership/,2,,3,,0,,0,
EML,Direct,/head-of-product-career/,2,,2,,0,,0,
EML,Organic Search,/engineering-leadership-skills/,2,,2,,0,,0,
EML,Referral,/senior-engineer-vs-tech-lead-vs-lead-engineer/,2,-2,2,-3,0,0,0,0
EML,Direct,/masters-engineering-management-leadership/board-of-advisors/,2,-1,2,-3,0,0,0,0
Data Science,Organic Search,/data-science-vs-cybersecurity/,2,,2,,0,,0,
Data Science,Organic Search,/masters-data-analytics-worth-it/,2,-21,2,-25,0,0,0,0
Data Science,Direct,/data-science-vs-cybersecurity/,2,,2,,0,,0,
Data Science,Organic Search,/faculty/ebrahim-k-tarshizi/,2,-3,2,-3,0,0,0,0
Data Science,AI Traffic,/companies-hiring-data-scientists/,2,,2,,0,,0,
Data Science,Organic Search,/faculty/wesley-pasfield/,2,1,2,1,0,0,0,0
Data Science,Direct,/how-to-become-database-developer/,2,-2,2,-2,0,0,0,0
EML,Direct,/engineering-management-masters-worth-it/,2,-8,2,-9,0,0,0,0
EML,AI Traffic,/engineering-manager-skills/,2,,2,,0,,0,
Data Science,Direct,/database-engineer-career/,2,-4,2,-6,0,0,0,0
EML,Direct,/classes/tomorrows-platforms-products-and-services/,2,,2,,0,,0,
Data Science,Direct,/data-science-certifications/,2,-6,3,-4,0,0,0,0
Data Science,Direct,/resources/questions-to-ask-masters-data-science-checklist/,2,-1,2,-2,0,-1,0,-0.3333333333333333
Data Science,Organic Search,/data-engineer-career/,2,-4,2,-4,0,0,0,0
Data Science,Organic Search,/data-science/,2,-9,2,-14,0,0,0,0
Data Science,Direct,/faculty/mohammad-yavarimanesh/,2,,3,,0,,0,
EML,Direct,/masters-in-engineering-management-vs-mba/,2,-8,2,-10,0,0,0,0
Data Science,Organic Search,/faculty/john-chandler/,2,-4,2,-4,0,0,0,0
Data Science,Organic Search,.translate.goog/best-computer-science-jobs/,2,-4,2,-4,0,0,0,0
Data Science,Email,/masters-applied-data-science/,2,,4,,0,,0,
Data Science,Organic Search,/faculty/sean-coyne/,2,1,2,1,0,0,0,0
Data Science,Direct,/data-analytics-consultant/,2,-1,2,-1,0,0,0,0
Data Science,Organic Search,/classes/data-science-with-cloud-computing/,2,,2,,0,,0,
Data Science,Paid Social,/what-is-data-science/,2,,2,,0,,0,
