program_category,default_channel,Landing_page,Session,sessions_mom_difference,Pageview,pageview_mom_difference,Conversions,conversions_mom_difference,Conversion_Rate,conversion_rate_mom_percent_difference
MED,Direct,/rethinking-education-assessment-types/,74,23,69,15,0,0,0,0
LEPSL,Paid Search,/masters-law-enforcement-leadership/lp/criminal-justice/,74,7,112,-49,7,-9,0.094594595,-0.144211376
MTS,Organic Search,/philosophy-degree-jobs/,73,-10,81,-11,0,0,0,0
EML,Organic Search,/future-engineering-trends/,73,,65,,0,,0,
CyberEng,Organic Search,/black-vs-gray-vs-white-hat-hackers/,73,-11,74,-11,0,0,0,0
MTS,Organic Search,/jobs-for-catholics/,73,10,73,-4,0,0,0,0
MTS,Organic Search,/how-to-regain-your-faith/,73,19,76,24,0,0,0,0
Informatics,Organic Search,/health-information-technology-jobs-salary/,72,-127,79,-148,0,0,0,0
Data Science,Direct,/masters-applied-data-science/,72,2,80,-41,0,-2,0,-0.028571429
MSNP,Organic Search,/grant-writer-career/,72,20,77,24,0,0,0,0
Default - (not set),Organic Search,/bringing-a-product-to-market/,71,21,71,23,0,0,0,0
MED,Direct,/teaching-to-every-students-unique-learning-style/,71,3,69,-16,0,-1,0,-0.014705882
MED,Organic Search,/co-teaching-models/,68,-14,66,-14,0,0,0,0
MESH,Direct,/masters-engineering-sustainability-health/,68,16,97,-5,2,2,0.029411764705882353,0.029411764705882353
MSHA,Direct,/how-to-become-diplomat/,68,12,70,11,0,0,0,0
EML,Direct,/masters-engineering-management-leadership/,68,6,107,13,1,1,0.014705882352941176,0.014705882352941176
MSLDT,Display,/masters-learning-design-technology/lp/dyna/,68,-72,104,-135,15,-18,0.22058823529411764,-0.01512605
MSLDT,Direct,/what-is-instructional-design-examples/,67,5,69,-11,0,0,0,0
Default - (not set),Direct,/programs/,67,7,85,9,0,0,0,0
MSNNL,Direct,/masters-nursing-leadership/,67,25,103,3,1,-1,0.014925373134328358,-0.032693674
MSHA,Organic Search,/types-of-advocacy/,67,,71,,0,,0,
MTS,Organic Search,/what-is-lay-ministry/,66,-10,71,-22,0,0,0,0
CyberOps,Direct,/ethical-hacker-career-salary-guide/,66,-16,68,-32,0,0,0,0
MTS,Organic Search,/liturgy-of-the-hours/,65,-7,79,-2,0,0,0,0
MED,Organic Search,/per-pupil-education-spending-by-state/,64,16,67,19,0,0,0,0
Default - (not set),Direct,/online-programs/,64,16,65,13,0,0,0,0
MSLDT,Direct,/masters-learning-design-technology/,64,-11,114,-23,0,0,0,0
MSNP,Organic Search,/nonprofit-grant-databases/,64,-59,64,-74,0,0,0,0
MED,Referral,/complete-list-teaching-methods/,63,-27,82,-29,4,0,0.063492063,0.019047619047619042
MED,Organic Search,/faculty/joseph-lathan/,63,8,72,2,0,0,0,0
MED,Direct,/steam-education-in-schools/,62,-12,67,-28,0,0,0,0
Default - (not set),Organic Search,/programs/,61,10,95,10,1,1,0.016393443,0.016393443
MSHA,Organic Search,/international-affairs-careers/,61,-17,62,-18,0,0,0,0
Informatics,Paid Search,/,61,9,196,10,0,0,0,0
Default - (not set),Direct,/admissions/how-to-apply/,61,18,75,8,0,-1,0,-0.023255814
MTS,Direct,/masters-theological-studies/,60,-5,85,-59,1,1,0.016666666666666666,0.016666666666666666
Default - (not set),Paid Search,/masters-engineering-management-leadership/lp/ppc/,60,45,60,47,60,47,1,0.1333333333333333
MSLDT,Organic Search,/educational-technology-jobs/,60,-20,67,-20,0,0,0,0
CyberOps,Organic Search,/entry-level-cyber-security-jobs-guide/,60,24,59,21,1,1,0.016666666666666666,0.016666666666666666
MSLDT,Organic Search,/what-is-learning-design/,60,35,66,37,2,2,0.033333333,0.033333333
LEPSL,Direct,/women-in-law-enforcement/,60,2,63,-29,0,0,0,0
CyberOps,Organic Search,/cyber-security-information-security-network-security/,60,17,56,9,0,0,0,0
Default - (not set),Referral,/how-to-become-an-entrepreneur/,59,55,68,64,0,0,0,0
MSLDT,Direct,/career-changes-for-teachers/,59,15,58,8,0,0,0,0
MTS,Organic Search,/how-to-get-more-involved-in-church/,59,-8,64,-10,0,0,0,0
CyberOps,Organic Search,/masters-cyber-security-operations/,59,-8,105,-12,4,4,0.06779661,0.06779661
Default - (not set),Organic Search,/tuition-financial-aid/tuition/,59,32,65,30,0,0,0,0
LEPSL,Organic Search,/why-military-vets-should-consider-career-in-criminal-justice/,58,5,54,-15,0,0,0,0
MESH,Organic Search,/sustainability-scholarships/,58,21,65,28,0,0,0,0
MED,Organic Search,/teacher-cover-letter-examples/,58,1,50,0,2,2,0.034482758620689655,0.034482758620689655
MED,Organic Search,/master-education-vs-master-arts-teaching/,58,-5,61,-12,0,-1,0,-0.015873016
CyberEng,Paid Social,/masters-cyber-security-engineering/lp/cyber-security-engineering/,58,-194,61,-263,3,-36,0.051724138,-0.103037767
MSLDT,Direct,/job-aid-examples-template/,58,1,51,-3,1,1,0.017241379310344827,0.017241379310344827
LEPSL,Direct,/police-communication-important-today/,58,-19,58,-26,0,0,0,0
MSLDT,Direct,/instructional-technology-tools/,57,40,55,39,0,0,0,0
LEPSL,Organic Search,.translate.goog/10-innovative-police-technologies/,57,47,67,54,0,0,0,0
MTS,Organic Search,/religious-vocational-discernment/,57,3,63,9,0,-1,0,-0.018518519
MSAAI,Referral,/ai-impact-on-job-market/,56,15,59,3,0,0,0,0
Default - (not set),Paid Social,/lp/apply-now/,55,46,57,48,0,0,0,0
Informatics,Organic Search,/health-information-management-vs-health-informatics/,55,19,59,14,0,0,0,0
EML,Organic Search,/engineering-management-leadership-certifications/,55,-12,58,-15,0,0,0,0
MED,Organic Search,/bilingual-education/,55,6,45,3,0,0,0,0
MED,Organic Search,/teacher-salaries-analysis/,54,38,56,37,0,0,0,0
MSITL,Direct,/it-job-titles/,54,1,48,-6,0,0,0,0
MSHA,Organic Search,/social-advocacy-definition/,54,-5,61,5,0,0,0,0
LEPSL,Direct,/what-style-police-leadership-most-effective/,54,15,56,13,1,1,0.018518518518518517,0.018518518518518517
MSAAI,Referral,/ai-blogs/,53,49,55,52,0,0,0,0
Default - (not set),Direct,/tuition-financial-aid/tuition/,53,20,51,7,0,0,0,0
MTS,Organic Search,/nature-spirituality/,53,-10,62,-15,0,0,0,0
MED,Direct,/best-paying-school-districts-ca-teachers/,53,0,54,-7,0,0,0,0
LEPSL,Organic Search,/police-conflict-management-strategies/,53,7,64,6,0,0,0,0
MSAAI,Organic Search,/masters-applied-artificial-intelligence/classes/,52,15,56,20,1,1,0.019230769230769232,0.019230769230769232
MESH,Direct,/high-paying-environmental-jobs/,52,14,50,3,0,0,0,0
CyberOps,Referral,/top-cyber-security-blogs-websites/,52,26,71,34,0,0,0,0
CyberOps,Paid Social,/masters-cyber-security-operations/lp/bva-cyber-security-operations-leadership/,52,-130,53,-181,0,-15,0,-0.082417582
Data Science,Organic Search,/best-degrees-data-science/,52,21,55,9,0,-2,0,-0.064516129
MESH,Organic Search,/environmental-science-vs-engineering-degree/,51,9,51,11,0,0,0,0
Data Science,Direct,/quantitative-analyst-career/,51,28,53,31,0,0,0,0
MSHA,Direct,/humanitarian-careers/,51,-24,52,-20,0,0,0,0
MESH,Organic Search,/blog-msph-vs-mph-degree-comparison/,51,-10,51,-16,0,0,0,0
MTS,Organic Search,/how-to-become-a-spiritual-director/,51,15,65,25,1,0,0.019607843,-0.008169935
CyberOps,Direct,/best-jobs-in-cyber-security/,50,14,56,19,0,0,0,0
MSHA,Direct,/masters-humanitarian-action/,50,-13,84,-19,1,-3,0.02,-0.043492063
CyberEng,Direct,/black-vs-gray-vs-white-hat-hackers/,49,-26,41,-35,0,0,0,0
MTS,Organic Search,/what-is-ecospirituality/,49,-1,63,8,0,0,0,0
MSLDT,Organic Search,/masters-learning-design-technology/,49,13,75,14,0,-1,0,-0.027777778
MESH,Direct,/masters-engineering-sustainability-health/apply/,49,4,64,-29,1,1,0.020408163,0.020408163
LEPSL,Organic Search,/faculty/wendy-patrick/,48,8,49,8,0,0,0,0
MSLDT,Organic Search,/how-to-become-a-curriculum-designer/,48,-2,57,-3,1,1,0.020833333333333332,0.020833333333333332
MED,Direct,/bilingual-education/,48,1,47,9,0,0,0,0
Default - (not set),Direct,/offers/oed-leads/,47,14,49,8,0,0,0,0
Data Science,Organic Search,/business-intelligence-certifications/,47,-4,50,-5,0,0,0,0
CyberEng,Direct,/masters-cyber-security-engineering/apply/,47,-11,50,-13,0,-1,0,-0.017241379
MSAAI,Organic Search,/artificial-intelligence-developer-career/,47,-8,52,-2,0,0,0,0
MESH,Organic Search,/best-sustainability-certifications/,47,-4,47,-13,0,0,0,0
CyberEng,Organic Search,/network-forensics-tools/,47,-46,48,-48,0,0,0,0
MESH,Direct,/climate-change-careers/,46,11,50,15,1,0,0.021739130434782608,-0.006832298
